Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Cabai Merah Keriting
12/07/2023,"24,2","32,8","27,7",69,0,"4,8",3,330,2,E,36.380
13/07/2023,25,"33,8","28,8",72,0,"8,7",6,140,2,SE,35.490
14/07/2023,"25,6","33,4","28,8",75,0,"4,3",7,130,3,C,35.930
15/07/2023,"24,6","33,2","28,5",72,0,"8,5",6,120,2,C,34.840
16/07/2023,"24,6","32,4","27,8",71,0,"7,9",7,130,3,SE,35.580
17/07/2023,"23,2","32,6","27,3",68,,"8,5",7,140,3,SE,36.450
18/07/2023,"23,6",34,"27,2",72,0,9,9,150,4,SE,36.040
19/07/2023,"23,8",33,"28,2",68,0,"8,7",7,140,3,SE,36.200
20/07/2023,23,"32,9","26,9",68,0,"8,7",6,120,2,C,35.140
21/07/2023,"22,8","31,8","27,2",67,0,"8,8",5,100,2,SE,35.560
22/07/2023,"23,2","32,8","27,2",68,0,"8,8",8,140,4,SE,34.680
23/07/2023,"23,6",33,"28,1",70,,9,5,150,3,SE,34.410
24/07/2023,"24,6","32,2","28,1",70,,8,6,130,3,SE,34.910
25/07/2023,"25,6","32,6","28,8",77,0,"8,6",8,100,4,SE,34.730
26/07/2023,25,33,"27,8",71,0,"6,3",5,120,2,SE,33.440
27/07/2023,"23,8",33,"27,7",65,0,"7,6",6,110,3,SE,32.760
28/07/2023,"23,4","32,2","27,1",67,0,"8,2",5,170,2,SE,32.810
29/07/2023,"23,2","32,2","27,2",68,0,"8,3",7,130,3,SE,33.320
30/07/2023,"22,8",32,"27,3",65,0,"8,4",9,150,4,SE,32.590
31/07/2023,"22,8","33,2","27,4",69,0,"8,5",7,150,4,SE,31.610
01/08/2023,"23,8",33,"29,1",70,0,"8,6",10,140,4,SE,29.990
02/08/2023,"25,4",34,"29,2",75,,"8,3",6,100,4,SE,29.320
03/08/2023,26,"33,8","29,1",74,0,"8,3",8,150,4,SE,28.430
04/08/2023,25,"33,8","28,7",70,0,"8,3",7,150,3,SE,27.100
05/08/2023,24,"33,4","27,8",71,0,"7,7",7,150,3,SE,27.100
06/08/2023,"24,4","33,4","28,5",70,8888,"9,2",8,140,3,SE,27.890
07/08/2023,"24,6","33,5","28,1",73,0,"6,8",8,140,4,SE,28.600
08/08/2023,"24,8","32,2",28,71,,8,7,140,4,SE,27.730
09/08/2023,"23,8","33,3","27,4",69,0,"8,2",7,140,4,SE,31.880
10/08/2023,"23,6",33,"27,6",66,,"9,5",7,190,3,SE,33.360
11/08/2023,"22,8","32,6",27,68,,"7,7",6,150,3,SE,33.360
12/08/2023,"23,2",33,"27,4",64,0,"7,7",6,140,3,SE,33.360
13/08/2023,"23,6","32,8","27,8",68,0,8,7,140,4,SE,32.160
14/08/2023,24,"33,1","27,6",69,0,8,6,130,3,SE,29.420
15/08/2023,"23,8",33,"27,5",75,0,"7,8",6,120,3,SE,30.520
16/08/2023,24,"33,3","28,3",62,0,"8,8",5,160,2,E,32.910
17/08/2023,"23,5","32,8","27,7",68,0,"8,7",7,80,3,C,31.910
18/08/2023,"22,8","32,6","27,8",65,,8,8,100,3,E,31.340
19/08/2023,"23,6","33,2","28,7",67,0,"8,9",7,130,4,E,33.200
20/08/2023,24,"33,4","28,8",66,,"9,5",5,150,2,SE,33.090
21/08/2023,"24,1","32,9","28,5",69,0,9,7,90,4,E,31.530
22/08/2023,"24,5","32,6","28,3",66,0,8,6,110,3,E,30.000
23/08/2023,"23,4",33,28,66,0,"9,8",8,110,3,E,31.780
24/08/2023,"23,5","32,6","28,3",66,0,"9,9",8,90,3,E,33.320
25/08/2023,24,"33,8","28,9",68,0,"9,6",6,110,2,E,34.510
26/08/2023,"24,2","33,8","28,9",61,,"9,2",5,100,3,E,36.200
27/08/2023,"23,3","33,8","28,7",63,0,"9,5",6,140,3,E,34.740
28/08/2023,24,"32,5","28,7",66,0,9,8,100,3,SE,32.770
29/08/2023,24,"33,8",29,62,0,"9,2",7,130,3,C,38.820
30/08/2023,"23,9","33,1","28,6",67,0,9,8,80,3,E,37.130
31/08/2023,"23,6","33,2","28,7",65,0,9,7,110,3,E,37.130
01/09/2023,25,"33,4","28,3",67,0,"8,5",5,160,3,SE,39.460
02/09/2023,24,"33,2",28,64,0,"8,4",7,130,3,SE,38.710
03/09/2023,"23,2","33,7","27,7",62,0,"8,3",7,150,4,SE,39.280
04/09/2023,"23,9",33,"27,5",64,0,"8,2",6,130,3,SE,37.110
05/09/2023,"23,2","33,2","27,9",60,0,"8,3",8,150,4,SE,35.810
06/09/2023,24,"34,7","28,5",66,,"8,5",6,70,3,SE,34.100
07/09/2023,"24,6",33,"28,4",71,0,"8,2",7,140,3,SE,33.900
08/09/2023,"24,4",33,"28,2",68,0,"8,2",7,140,3,SE,33.290
09/09/2023,"23,2","33,8","27,7",68,,"8,5",6,140,3,SE,32.270
10/09/2023,23,"33,6","27,9",63,0,"8,5",7,140,4,SE,32.270
11/09/2023,24,"34,6",29,65,,"8,5",8,180,3,SE,31.020
12/09/2023,"25,2","34,8","29,2",66,0,"8,5",7,140,4,S,30.960
13/09/2023,"25,2","34,8","28,9",68,0,"8,8",7,150,3,SE,30.320
14/09/2023,"25,6","32,8","28,4",71,0,"8,7",8,150,4,SE,29.770
15/09/2023,"23,6","33,1","28,1",68,0,"8,3",7,140,3,SE,29.450
16/09/2023,25,"33,2","28,7",71,0,"8,7",8,140,4,SE,29.080
17/09/2023,"25,4","34,2","28,6",70,0,"8,3",6,130,4,SE,28.460
18/09/2023,"24,8","33,4","28,3",70,5,"8,7",6,140,3,SE,28.130
19/09/2023,"24,2","34,4",29,65,,"8,1",7,140,4,SE,28.550
20/09/2023,"24,6","34,4","28,7",67,,"8,6",6,120,4,E,28.900
21/09/2023,"24,5","33,8","28,4",64,0,"8,6",8,120,3,SE,29.090
22/09/2023,"23,4",33,28,63,0,"7,3",7,150,4,SE,31.660
23/09/2023,"24,6","34,8","28,7",65,0,"8,6",7,170,4,S,32.530
24/09/2023,"24,8","34,8","29,1",62,0,"8,8",10,150,4,SE,32.760
25/09/2023,25,"34,6","29,1",71,0,"8,6",6,150,3,SE,34.690
26/09/2023,"24,5",35,"28,7",61,0,"8,7",7,140,3,SE,36.230
27/09/2023,24,"34,6",29,62,,"8,5",7,140,4,SE,37.340
28/09/2023,"24,6",35,"28,9",66,0,"8,8",8,120,4,SE,36.960
29/09/2023,"25,8","34,6","29,8",65,0,"8,7",9,140,4,SE,36.230
30/09/2023,"25,8",35,"29,5",61,0,"8,6",6,140,3,SE,36.630
01/10/2023,"24,4","35,3","29,1",64,0,"8,7",7,140,2,SE,42.120
02/10/2023,"25,2","35,1","29,2",60,0,"8,7",8,150,3,SE,42.120
03/10/2023,"25,5",35,"29,3",65,0,"8,8",7,120,3,SE,43.000
04/10/2023,"26,4","34,8","29,9",64,0,"8,8",7,140,3,SE,43.330
05/10/2023,"25,8","34,7","29,3",72,,"8,8",7,140,4,SE,43.330
06/10/2023,26,"35,8","30,4",64,,"7,4",8,150,4,SE,44.090
07/10/2023,"26,8","33,8","29,8",67,0,"8,8",9,150,4,SE,44.300
08/10/2023,"25,6","35,1","29,8",69,0,"7,4",10,150,4,SE,44.480
09/10/2023,26,35,"30,4",64,0,"8,8",7,150,2,SE,43.530
10/10/2023,"27,2","35,5","30,7",64,0,"8,9",5,110,2,SE,44.030
11/10/2023,,"34,8","30,4",63,,"6,8",7,150,3,SE,42.430
12/10/2023,"26,6","34,6","29,8",65,0,"8,8",6,130,3,SE,44.740
13/10/2023,"26,8",35,"30,2",66,,"8,7",8,150,4,SE,44.740
14/10/2023,"26,8","35,6","30,6",62,0,"8,5",8,150,5,SE,44.740
15/10/2023,27,35,"30,2",67,0,"8,7",7,140,4,SE,45.530
16/10/2023,"27,8","35,2","30,8",66,0,"7,7",7,150,4,SE,46.430
17/10/2023,26,35,"30,4",64,0,"8,9",11,100,5,S,45.610
18/10/2023,"26,8","36,2","30,5",65,0,9,12,150,5,SE,47.020
19/10/2023,"27,6","35,4",31,62,0,9,8,140,4,SE,45.940
20/10/2023,"27,2",36,"31,4",65,0,"8,9",7,120,3,S,48.800
21/10/2023,"26,8",36,"31,1",65,,"8,8",4,140,2,NE,49.130
22/10/2023,"26,8","36,8","30,9",64,0,"6,6",5,120,2,E,50.000
23/10/2023,"26,8","36,8","30,9",64,0,"6,6",5,120,2,E,49.920
24/10/2023,"27,2","35,4","30,8",68,1,9,6,110,3,E,49.920
25/10/2023,"27,8","35,8",31,61,0,"7,2",7,160,4,SE,51.610
26/10/2023,"26,2","36,8","31,3",62,0,"8,8",6,160,3,SE,49.800
27/10/2023,"26,8","36,5","30,6",67,,9,7,150,3,SE,55.650
28/10/2023,"26,2","36,6","30,9",58,0,9,6,150,2,SE,57.220
29/10/2023,"25,8",36,"30,8",64,,9,6,160,3,SE,57.220
30/10/2023,"27,6","36,2","31,4",64,0,"9,1",7,150,4,SE,58.710
31/10/2023,"28,4","36,2","31,2",67,0,"8,9",6,150,3,SE,57.220
01/11/2023,"27,8","36,2","31,3",64,0,"9,1",5,70,2,SE,35.130
02/11/2023,27,"36,4","31,5",63,0,"8,2",9,150,3,SE,36.150
03/11/2023,"28,6","34,8","30,7",69,8888,9,6,120,3,SE,36.410
04/11/2023,28,"35,8","29,2",77,0,"5,5",6,120,2,SE,38.570
05/11/2023,"26,6","34,2","30,2",73,"13,9","4,8",4,80,2,SE,38.260
06/11/2023,27,"36,2",31,66,,"6,8",6,170,3,SE,39.060
07/11/2023,"26,4","36,2",31,65,0,9,6,140,3,E,40.930
08/11/2023,"26,5","37,2",31,65,0,"7,6",4,310,2,N,40.890
09/11/2023,"26,6","35,3",31,70,0,"8,8",5,20,2,N,43.730
10/11/2023,"27,5","35,2","30,9",71,"9,5","7,3",3,20,2,N,44.410
11/11/2023,"27,8","35,8","31,1",67,0,6,7,100,4,E,43.320
12/11/2023,"26,2","35,2","30,7",68,0,"8,7",6,80,4,SE,44.610
13/11/2023,27,"36,2","31,6",66,,"7,5",4,140,2,SE,48.450
14/11/2023,"27,6","35,8","31,2",69,0,"9,4",5,70,2,SE,55.320
15/11/2023,27,"35,8","31,7",67,"0,8",7,5,120,2,E,52.550
16/11/2023,"28,2","35,6","30,8",69,0,8,5,120,2,NW,52.940
17/11/2023,27,"35,8","30,6",73,23,"6,9",3,330,2,NW,54.330
18/11/2023,"26,6","36,2","31,1",64,0,"3,1",5,340,2,N,55.540
19/11/2023,"27,2","36,2","31,5",60,0,"6,2",6,170,3,SE,54.460
20/11/2023,"27,2","36,2","31,9",62,0,"9,2",7,130,3,E,53.730
21/11/2023,28,"36,2","31,4",67,,"9,2",6,140,3,SE,57.300
22/11/2023,"26,4","36,8","32,4",64,0,"9,2",8,130,4,SE,57.730
23/11/2023,"28,6","37,2","31,6",63,0,9,7,130,3,SE,57.040
24/11/2023,28,"35,6","29,9",73,0,"7,1",3,170,2,SE,56.370
25/11/2023,"27,6","33,8","29,4",74,0,"3,3",5,340,2,N,56.620
26/11/2023,"26,6",35,"30,6",68,0,2,5,300,2,S,55.760
27/11/2023,"27,1","34,8","29,6",77,0,9,8,320,3,E,59.390
28/11/2023,"26,4","32,2",28,83,"18,5","4,5",5,120,2,SE,57.690
29/11/2023,"25,8","33,4","29,6",78,"33,5","0,8",5,40,2,E,58.240
30/11/2023,"26,2","34,8","29,9",74,8888,"4,8",6,50,2,SE,57.810
01/12/2023,"27,2","35,8","28,4",80,"0,7","5,9",6,340,2,NW,68.120
02/12/2023,"25,8","33,6","29,3",76,"4,4","2,7",4,80,2,E,69.570
03/12/2023,"26,2","33,8","29,4",76,8888,"2,7",5,70,2,SE,69.670
04/12/2023,"26,2","33,8","29,6",74,"6,2","6,2",4,60,1,C,71.930
05/12/2023,"26,2",35,"30,3",72,8888,"1,2",5,20,2,N,73.300
06/12/2023,"26,5","35,6","30,6",72,0,"7,4",3,100,2,N,74.340
07/12/2023,"25,8","35,8","29,8",72,0,"7,1",7,340,3,N,73.930
08/12/2023,25,"34,6","29,5",77,"18,5","9,2",4,50,2,NW,75.200
09/12/2023,"26,4","33,5","29,9",75,8888,"5,2",4,340,2,N,74.870
10/12/2023,"26,8","33,6","28,7",80,,"1,8",4,330,1,C,74.900
11/12/2023,"26,4",36,"30,5",69,20,"1,5",4,350,2,N,73.860
12/12/2023,"25,8","36,2","31,1",69,0,"8,6",5,360,3,N,72.580
13/12/2023,"27,4",35,"30,2",73,0,9,6,160,2,S,73.330
14/12/2023,27,"34,2","29,8",76,0,"5,2",4,140,2,SE,70.820
15/12/2023,"26,6","34,4","29,4",75,"20,2","2,1",5,20,2,S,67.390
16/12/2023,"25,4","35,8","31,3",67,"0,4","6,2",6,330,2,NW,67.560
17/12/2023,"26,8","35,6","30,6",69,0,"9,3",5,30,3,SE,67.380
18/12/2023,"26,8","34,2","30,6",66,8888,"8,8",4,60,2,SE,60.510
19/12/2023,"26,6",36,"30,8",62,0,"6,6",4,340,2,NW,57.720
20/12/2023,"25,8","34,4","30,5",61,0,"7,7",5,130,2,SE,57.750
21/12/2023,"26,4","35,6","31,1",65,0,"9,3",5,360,2,N,57.520
22/12/2023,"27,8",36,31,68,0,"8,8",4,160,2,W,57.040
23/12/2023,27,35,31,68,0,"7,7",5,340,2,NE,56.000
24/12/2023,"26,4","36,4","31,2",69,,"9,3",5,80,2,SE,56.490
25/12/2023,"27,2","34,6","28,5",80,0,"8,6",6,270,2,NW,55.220
26/12/2023,"25,2","34,6","29,9",74,"37,1",2,4,250,2,NW,56.190
27/12/2023,"26,8","34,4","30,6",72,0,7,4,150,2,NE,56.340
28/12/2023,"27,4","35,6","30,6",75,0,8,8,100,2,E,55.830
29/12/2023,"27,8","35,6","30,8",74,8888,"5,5",6,70,3,SE,56.200
30/12/2023,27,"35,8","30,6",76,"14,2","6,5",4,350,2,N,55.360
31/12/2023,27,"35,8","30,5",75,8888,"7,7",6,100,2,N,54.170
01/01/2024,"23,6","31,3","27,5",85,"16,4","3,9",4,10,1,C,53.630
02/01/2024,"23,6","32,8","27,2",86,"1,5","2,3",3,45,0,C,54.690
03/01/2024,"24,4","29,8","26,4",90,"13,7","2,2",3,260,1,C,55.230
04/01/2024,"24,2","31,6","25,6",91,1,"0,4",4,170,1,C,54.780
05/01/2024,"23,8","32,3","27,2",82,"5,2","1,3",3,330,1,C,53.260
06/01/2024,"23,2","32,6","26,1",87,0,"3,8",5,240,1,C,51.820
07/01/2024,"23,5","31,6","25,3",90,"2,8","4,5",8,70,2,C,51.820
08/01/2024,23,"31,7","26,1",87,19,"5,1",8,330,1,C,50.930
09/01/2024,"23,3","33,5","27,5",82,"3,9","5,4",10,310,1,C,50.590
10/01/2024,"23,6",33,"26,2",88,"3,5","7,1",14,270,1,C,49.890
11/01/2024,,"32,8","25,7",92,35,"5,4",5,20,0,C,49.470
12/01/2024,"23,5","30,8",26,88,"20,8","3,3",7,270,1,C,49.520
13/01/2024,"22,8","33,6","26,4",85,,"1,8",6,10,1,C,48.910
14/01/2024,"22,9","32,5","26,5",85,"10,6","4,7",14,360,2,C,48.600
15/01/2024,23,"31,8","27,2",82,7,"6,8",2,320,0,C,48.690
16/01/2024,23,"32,5","27,6",80,,"4,8",3,130,0,C,49.210
17/01/2024,"24,5","30,4","25,5",91,,"6,7",11,180,1,C,49.520
18/01/2024,"23,4","30,2","26,5",86,"3,7","2,1",5,335,1,C,49.510
19/01/2024,"23,4","32,9","23,7",94,"26,9","0,6",4,200,0,C,49.120
20/01/2024,"21,4","33,2",27,70,"32,5",0,12,235,3,C,49.140
21/01/2024,22,31,"25,9",88,,"10,1",2,260,0,C,48.640
22/01/2024,"23,1","32,5","27,2",73,6,"4,2",10,200,2,C,49.490
23/01/2024,"23,6","30,7","26,4",81,"2,6","3,7",5,255,1,C,49.710
24/01/2024,"22,1","30,9","26,3",83,"0,5","1,4",6,150,1,C,50.170
25/01/2024,"22,3","32,6","27,9",79,"19,5","2,6",4,20,1,C,49.850
26/01/2024,24,"32,2","27,1",84,,"9,2",5,315,1,C,50.030
27/01/2024,"24,1","27,2","25,1",94,"3,7","6,3",5,280,1,C,49.810
28/01/2024,"23,5","29,3","24,9",92,"32,9",0,10,20,2,C,49.410
29/01/2024,"22,8","28,6","25,5",92,"65,7","1,3",4,20,1,C,49.240
30/01/2024,"22,9","28,8","25,4",92,"8,7","0,2",10,200,1,C,48.920
31/01/2024,23,31,"25,2",90,"50,7","0,2",6,300,1,C,48.360
01/02/2024,"22,2","31,1","25,4",89,"1,3","4,5",10,190,2,C,48.240
02/02/2024,"22,5","33,3","27,2",82,"24,3","4,7",11,30,2,C,48.630
03/02/2024,"24,4","30,7","25,6",90,"10,5","8,8",9,325,2,C,49.170
04/02/2024,"23,4","31,8","26,2",86,"1,7","3,5",11,230,2,C,49.670
05/02/2024,23,"31,4","26,5",84,"4,2",1,4,270,1,C,50.830
06/02/2024,"23,8","29,8","24,6",91,"1,5","5,2",6,300,1,C,51.660
07/02/2024,"22,3","30,7",25,90,"3,2","0,5",8,180,1,C,51.710
08/02/2024,21,"34,4","27,4",78,25,"3,3",5,10,1,C,51.670
09/02/2024,"21,4",32,"28,3",77,8888,8,8,20,2,C,52.350
10/02/2024,"21,4","32,6","25,4",90,0,7,4,270,1,C,53.630
11/02/2024,"22,2","31,7","25,7",88,"3,1","2,9",12,180,2,C,52.740
12/02/2024,"22,6","31,8","27,1",83,"38,7","6,2",6,340,1,C,53.570
13/02/2024,"23,5",32,"28,3",80,8888,"5,9",5,360,1,C,54.660
14/02/2024,"23,8","30,8","27,3",86,"10,1",7,8,355,1,C,54.660
15/02/2024,"24,3","31,8","26,8",89,3,"0,9",4,300,1,C,56.010
16/02/2024,"24,6","30,7","26,3",91,9,"3,3",9,220,2,C,58.160
17/02/2024,"24,5","30,8","25,8",91,"3,6","1,6",5,20,1,C,59.310
18/02/2024,"23,5","32,1","25,9",89,"14,4","3,8",13,190,2,C,60.580
19/02/2024,"23,6",32,"27,1",86,"3,7","5,3",8,360,2,C,62.510
20/02/2024,"23,6",,"27,3",84,8888,"4,7",5,40,1,C,63.380
21/02/2024,24,32,"26,9",87,64,8,10,240,1,C,64.350
22/02/2024,24,"33,4","28,2",82,"0,6","5,1",5,20,1,C,66.100
23/02/2024,"23,8","33,6","28,5",78,,"8,1",4,300,1,C,67.010
24/02/2024,"24,8","34,2","27,8",83,,8,6,340,2,C,67.480
25/02/2024,"23,6","30,6","26,9",86,"4,8","5,8",4,280,1,C,67.820
26/02/2024,"24,4","30,1","26,9",85,8888,"0,4",6,270,1,C,68.570
27/02/2024,"24,1","32,2","26,9",83,,"2,3",10,360,3,C,67.940
28/02/2024,"24,2","28,9","26,2",89,"1,1","6,8",3,160,0,C,67.770
29/02/2024,"24,2","28,6","24,8",93,5,0,3,230,1,C,66.520
01/03/2024,23,32,"25,7",89,"3,7",1,4,280,1,C,65.680
02/03/2024,"23,2",31,"25,6",94,25,"5,2",10,350,2,C,64.930
03/03/2024,"23,8","31,3","25,5",91,57,"3,5",15,340,2,C,64.480
04/03/2024,"22,6","31,9","26,7",86,"30,4","2,6",5,20,1,C,63.560
05/03/2024,"23,6",32,"26,9",88,"0,7","4,3",7,340,2,C,62.620
06/03/2024,"23,6","33,4","26,6",87,"0,8","3,4",18,160,1,C,62.580
07/03/2024,"23,6","32,6","26,6",88,"40,2","5,4",11,150,2,C,62.510
08/03/2024,24,"30,9","26,1",88,"65,2","6,3",10,240,4,SW,62.870
09/03/2024,24,"27,1",25,91,"18,8","2,4",8,260,1,C,63.020
10/03/2024,"23,4","31,4","26,9",88,4,"0,5",4,360,1,C,64.220
11/03/2024,"24,6","29,2","26,4",90,2,"0,5",8,320,2,C,64.610
12/03/2024,"23,9","30,2","26,4",86,"10,7","0,8",7,335,2,C,65.200
13/03/2024,"24,2","30,4","26,2",91,"10,2","3,5",7,340,1,C,67.100
14/03/2024,"24,6",28,25,92,"27,3","0,5",13,180,2,C,67.330
15/03/2024,23,"30,8","24,8",90,"38,6",0,4,180,1,C,65.530
16/03/2024,23,"29,6","25,2",89,"13,9","0,1",7,320,2,C,63.910
17/03/2024,"23,1","28,4","24,9",91,"6,9","2,2",5,250,1,C,60.740
18/03/2024,"22,3",,"26,7",82,9,1,10,260,2,C,56.920
19/03/2024,"22,2",34,"27,2",71,,"5,6",8,280,2,C,54.170
20/03/2024,"20,5","34,2","27,1",72,,"9,7",4,350,1,C,51.470
21/03/2024,20,"33,9","27,8",78,,"10,1",10,340,3,C,49.470
22/03/2024,"21,8","30,7","26,9",83,8888,"9,7",7,360,2,C,46.960
23/03/2024,23,"33,4","28,4",79,0,"1,2",9,360,2,C,45.780
24/03/2024,"24,6","34,2","27,4",84,"3,3","5,7",6,20,2,C,45.390
25/03/2024,24,"33,4","26,4",88,134,"6,2",4,280,1,C,44.280
26/03/2024,"23,6","33,6","26,6",86,"27,8","4,8",3,75,1,C,43.400
27/03/2024,"24,1","31,3","25,5",90,"42,8","6,5",11,20,1,C,43.010
28/03/2024,"22,9","33,6",27,82,"1,1",0,4,250,1,C,42.670
29/03/2024,"23,6","34,5","26,3",86,"5,9","7,8",6,360,2,C,42.430
30/03/2024,23,"33,4","26,9",89,"72,5","6,9",6,60,1,C,41.990
31/03/2024,"23,2","33,1","26,9",88,"71,4","6,2",10,30,1,C,42.750
01/04/2024,"24,4","33,6","26,5",87,39,"6,1",6,360,1,C,43.350
02/04/2024,"22,9","33,7","27,5",87,"20,8","6,1",6,250,1,C,43.810
03/04/2024,"24,8","33,4","26,5",90,"37,5","5,1",7,350,1,C,43.730
04/04/2024,"24,2",33,"27,8",84,"7,1","2,8",2,350,0,C,44.160
05/04/2024,"23,8","32,9","28,5",78,"1,3","6,4",6,360,1,C,44.640
